"Package","Class","Method","Groups","Priority","Enabled","Desc"
"auth","RegistrationTests","testInvalidOTPOnRegistration","""smoke"", ""p0""","14","ENABLED","Invalid OTP during registration shows error"
"auth","RegistrationTests","testResendOTPOnRegistration","""smoke"", ""p0""","15","ENABLED","Resend OTP button works during registration"
"auth","RegistrationTests","testSuccessMessageDisplayed","""smoke"", ""p0""","16","ENABLED","Success message is displayed after registration"
"auth","RegistrationTests","testUserTypeTalentTypeToggle","""smoke"", ""p0""","17","ENABLED","User type and talent type toggle works"
"auth","RegistrationTests","testSpecialCharsInNameAccepted","""smoke"", ""p0""","18","ENABLED","Special characters in name field are accepted"
"auth","RegistrationTests","testVeryLongEmailRejected","""smoke"", ""p0""","19","ENABLED","Very long email address is rejected"
"auth","RegistrationTests","testPhoneNumberFormat","""smoke"", ""p0""","20","ENABLED","Invalid phone number format shows error"
"auth","RegistrationTests","testFormResetOnCancel","""smoke"", ""p0""","21","ENABLED","Registration form resets when cancelled"
"auth","RegistrationTests","testRegistrationAPIPayloadVerification","""smoke"", ""p0"", ""api""","22","ENABLED","Registration API payload is correctly structured"
"auth","RegistrationTests","testDuplicatePhoneRejected","""smoke"", ""p0""","23","ENABLED","Duplicate phone number is rejected"
"auth","RegistrationTests","testPasswordStrengthIndicator","""smoke"", ""p0""","24","ENABLED","Password strength indicator is shown"
"auth","RegistrationTests","testRegistrationNavigatesToOTPPage","""smoke"", ""p0""","25","ENABLED","Successful registration navigates to OTP page"
"auth","RegistrationTests","testRegistrationFromLandingPage","""smoke"", ""p0""","26","ENABLED","Registration is accessible from landing page"
"blog","BlogApiTests","testBlogApiLoads","TestGroups.API, TestGroups.P1","0","ENABLED","Blog posts loaded from API correctly"
"blog","BlogApiTests","testBlogSearch","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Blog search returns relevant results"
"blog","BlogApiTests","testBlogCategoryFilter","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Blog category filter works"
"blog","BlogApiTests","testBlogApiResponseFields","TestGroups.API, TestGroups.P2","0","ENABLED","Blog API returns title and excerpt in response"
"dashboard","DashboardAboutTests","testBioVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Bio text is visible in About section"
"dashboard","DashboardAboutTests","testEditAndSaveBio","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Edit bio and save updates successfully"
"dashboard","DashboardAboutTests","testCancelEditBio","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Cancel edit restores original bio"
"dashboard","DashboardCRUDTests","testAddSkillFromDashboard","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Add skill from dashboard and verify"
"dashboard","DashboardCRUDTests","testAddProjectFromDashboard","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Add project from dashboard and verify"
"dashboard","GalleryApiTests","testGalleryLoadsFromApi","TestGroups.API, TestGroups.P1","0","ENABLED","Gallery images loaded from API correctly"
"dashboard","GalleryApiTests","testGalleryMaxLimit","TestGroups.API, TestGroups.P2","0","ENABLED","Gallery respects max image limit"
"dashboard","OpenToConnectTests","testEnableOpenToConnect","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Toggle Open to Connect ON"
"dashboard","OpenToConnectTests","testDisableOpenToConnect","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Toggle Open to Connect OFF"
"dashboard","ProjectsApiTests","testProjectsLoadFromApi","TestGroups.API, TestGroups.P1","0","ENABLED","Projects loaded from API correctly"
"dashboard","ReviewDashboardTests","testAvgRatingVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Average rating is displayed on dashboard"
"dashboard","ReviewDashboardTests","testReviewCountVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Review count is displayed correctly"
"dashboard","ShareProfileTests","testShareBtnVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Share profile button is visible"
"dashboard","SkillsApiTests","testSkillsLoadFromApi","TestGroups.API, TestGroups.P1","0","ENABLED","Skills loaded from API correctly"
"dashboard","TalentProfileApiTests","testProfileDataLoaded","TestGroups.API, TestGroups.P0","0","ENABLED","Talent profile data loaded via API correctly"
"dashboard","TalentProfileApiTests","testProfileViewCount","TestGroups.API, TestGroups.P1","0","ENABLED","Profile view count is retrieved correctly"
"dashboard","TalentProfileTests","testProfileNameVisible","TestGroups.SMOKE, TestGroups.P0","0","ENABLED","Profile name visible on dashboard"
"dashboard","TalentProfileTests","testProfilePhotoVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Profile photo is displayed"
"dashboard","TalentProfileTests","testProfileRoleVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Profile role/designation is visible"
"dashboard","UpdateProfilePhotoTests","testProfilePhotoEditAccessible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Profile photo update option is accessible"
"dashboard","UserProfileTests","testUserProfileSectionsVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","User profile page renders all sections"
"e2e","EndToEndTests","testCompleteNewUserRegistrationFlow","none","1","ENABLED","TC_RG_001: New user Ã¢â‚¬â€ onboarding Ã¢â€ â€™ login Ã¢â€ â€™ profile creation Ã¢â€ â€™ home"
"e2e","EndToEndTests","testReturningUserLoginFlow","none","2","ENABLED","TC_RG_002: Returning user Ã¢â‚¬â€ onboarding Ã¢â€ â€™ login Ã¢â€ â€™ direct to home"
"e2e","EndToEndTests","testTalentDiscoveryAndBookingFlow","none","3","ENABLED","TC_RG_003: Search talent Ã¢â€ â€™ view profile Ã¢â€ â€™ book service"
"e2e","EndToEndTests","testChatInitiationFromProfile","none","4","ENABLED","TC_RG_004: View talent profile Ã¢â€ â€™ initiate chat Ã¢â€ â€™ send message"
"e2e","EndToEndTests","testNotificationToChatFlow","none","5","ENABLED","TC_RG_005: Tap chat notification Ã¢â€ â€™ land in the correct conversation"
"e2e","EndToEndTests","testSearchFilterAndProfileViewFlow","none","6","ENABLED","TC_RG_006: Search with filter Ã¢â€ â€™ click result Ã¢â€ â€™ view full profile"
"e2e","EndToEndTests","testLogoutAndReloginFlow","none","7","ENABLED","TC_RG_007: Log out then log back in successfully"
"edge","EdgeCaseTests","testUnicodeFirstName","none","1","ENABLED","Profile first name with accented characters (JosÃƒÂ©) should be accepted"
"edge","EdgeCaseTests","testNameWithApostrophe","none","2","ENABLED","Name containing apostrophe (O'Brien) should be accepted or gracefully handled"
"edge","EdgeCaseTests","testHyphenatedName","none","3","ENABLED","Hyphenated name (Anna-Marie) should be accepted"
"edge","EdgeCaseTests","testMaxLengthName","none","4","ENABLED","Extremely long first name should be truncated or rejected with error"
"edge","EdgeCaseTests","testEmailWithPlusTag","none","5","ENABLED","Email with plus-tag (test+tag@example.com) should be accepted"
"edge","EdgeCaseTests","testEmailWithSubdomain","none","6","ENABLED","Email with subdomain (user@mail.example.co.uk) should be accepted"
"edge","EdgeCaseTests","testSearchWithWhitespace","none","7","ENABLED","Search with whitespace-padded query should be trimmed and work"
"edge","EdgeCaseTests","testCaseInsensitiveSearch","none","8","ENABLED","Search should be case-insensitive (PLUMBER == plumber == Plumber)"
"edge","EdgeCaseTests","testBoundaryAge18DOB","none","9","ENABLED","User who turns 18 today should be allowed to create profile"
"edge","EdgeCaseTests","testEmojiInChatMessage","none","10","ENABLED","Chat message with emojis should be sent and displayed correctly"
"edge","EdgeCaseTests","testArabicTextInMessage","none","11","ENABLED","Chat message with Arabic text should be accepted"
"edge","EdgeCaseTests","testVeryLongSearchQuery","none","12","ENABLED","Search with 500-character query should not crash"
"edge","EdgeCaseTests","testSingleCharacterSearch","none","13","ENABLED","Single character search query should either show results or minimum length error"
"edge","EdgeCaseTests","testEdgeCasesFromDataProvider","none","14","ENABLED","Data-driven edge cases across multiple fields and inputs"
"edge","EdgeCaseTests","testBrowserBackButtonBehavior","none","15","ENABLED","App state should remain consistent after using browser back button"
"landing","LandingPageApiTests","testLandingPageLoads","TestGroups.SMOKE, TestGroups.P0","0","ENABLED","Landing page loads successfully"
"landing","LandingPageApiTests","testLandingPageApiData","TestGroups.API, TestGroups.P1","0","ENABLED","Landing page API data loads correctly"
"landing","LandingPageApiTests","testLoginBtnVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Login button visible on landing page"
"landing","LandingPageApiTests","testRegisterBtnVisible","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Register button visible on landing page"
"landing","LandingPageApiTests","testFeatureCardsVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Feature cards are displayed on landing page"
"messaging","CallListingsTests","testCallListingsLoad","TestGroups.SMOKE, TestGroups.P0","0","ENABLED","Call listings page loads"
"messaging","CallListingsTests","testCallHistoryItems","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Call history items are displayed"
"messaging","ConversationListTests","testConversationListLoads","TestGroups.SMOKE, TestGroups.P0","0","ENABLED","Conversation list page loads"
"messaging","ConversationListTests","testConversationItemsDisplayed","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Conversation items are displayed"
"messaging","ConversationListTests","testOpenConversation","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Open conversation and see messages"
"messaging","ConversationListTests","testSearchConversations","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Search conversations works"
"messaging","FetchRequestsTests","testFetchMessageRequests","TestGroups.API, TestGroups.P1","0","ENABLED","Message requests are fetched and displayed"
"messaging","LikeModalTests","testLikeModalOpens","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Like modal shows users who liked the post"
"messaging","MessageRequestTests","testRequestDrawerOpens","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Message request drawer opens"
"messaging","MessageRequestTests","testSendMessageRequest","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Message request can be sent to a talent"
"messaging","RequestAcceptDeclineTests","testAcceptMessageRequest","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Accept a pending message request"
"messaging","RequestAcceptDeclineTests","testDeclineMessageRequest","TestGroups.REGRESSION, TestGroups.P1","0","ENABLED","Decline a pending message request"
"messaging","SimilarTalentsTests","testSimilarTalentsVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Similar talents shown on talent profile"
"messaging","ValidateTalentTests","testTalentDataInConversation","TestGroups.API, TestGroups.P2","0","ENABLED","Validate talent data visible in conversation context"
"misc","ChangeLocationTests","testChangeLocation","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","User can change location from settings"
"misc","FetchContactsReviewTests","testFetchContactsApi","TestGroups.API, TestGroups.P2","0","ENABLED","Fetch contacts API returns connection list"
"misc","FetchContactsReviewTests","testFetchContactReviewApi","TestGroups.API, TestGroups.P2","0","ENABLED","Review contact API returns reviewer details"
"misc","GalleryViewApiTests","testGalleryViewApi","TestGroups.API, TestGroups.P2","0","ENABLED","Gallery view API returns images correctly"
"misc","NotificationTests","testNotifBadgeVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Notification bell badge shows unread count"
"misc","NotificationTests","testNotificationClick","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Clicking notification navigates to relevant page"
"misc","PrivacyPolicyTests","testPrivacyPolicyLoads","TestGroups.REGRESSION, TestGroups.P3","0","ENABLED","Privacy policy page loads correctly"
"misc","PrivacyPolicyTests","testTermsLoads","TestGroups.REGRESSION, TestGroups.P3","0","ENABLED","Terms and conditions page loads"
"misc","ProjectViewApiTests","testProjectViewApi","TestGroups.API, TestGroups.P2","0","ENABLED","Project view API returns projects correctly"
"misc","UserTipsTests","testOnboardingTipsVisible","TestGroups.REGRESSION, TestGroups.P3","0","ENABLED","User tips/onboarding tooltip is shown to new users"
"misc","UserTipsTests","testDismissTip","TestGroups.REGRESSION, TestGroups.P3","0","ENABLED","Dismiss tip removes it from view"
"misc","ViewerListTests","testViewerListVisible","TestGroups.REGRESSION, TestGroups.P2","0","ENABLED","Profile viewer list is accessible"
"misc","ViewerListTests","testViewerListApi","TestGroups.API, TestGroups.P2","0","ENABLED","Viewer list API returns correct data"
"misc","ViewPostApiTests","testViewPostApi","TestGroups.API, TestGroups.P2","0","ENABLED","View post API returns 200 with post data"
"misc","ViewPostApiTests","testViewCountIncrement","TestGroups.API, TestGroups.P2","0","ENABLED","View post API increments view count"
"negative","NegativeTests","testEmptyPhoneNumber","none","1","ENABLED","Submit empty phone number â€” expect validation error"
"negative","NegativeTests","testShortPhoneNumber","none","2","ENABLED","Submit 3-digit phone number â€” expect invalid format error"
"negative","NegativeTests","testAlphaPhoneNumber","none","3","ENABLED","Submit alphabetical phone number â€” expect rejection"
"negative","NegativeTests","testWrongOTPEntry","none","4","ENABLED","Enter incorrect OTP â€” expect 'Invalid OTP' error message"
"negative","NegativeTests","testShortOTPEntry","none","5","ENABLED","Enter 2-digit OTP in a 4-digit OTP field â€” expect rejection"
"negative","NegativeTests","testEmptyFirstNameOnProfile","none","6","ENABLED","Submit profile with empty first name â€” expect validation error"
"negative","NegativeTests","testInvalidEmailFormat","none","7","ENABLED","Enter invalid email format â€” expect format validation error"
"negative","NegativeTests","testUnderAgeDOBSelection","none","8","ENABLED","Select DOB that makes user under 18 â€” expect age validation error"
"negative","NegativeTests","testNegativeInputScenarios","none","9","ENABLED","Data-driven negative tests for multiple invalid inputs"
"negative","NegativeTests","testSpecialCharsInPhoneNumber","none","10","ENABLED","Phone number with special characters should be rejected"
"performance","PerformanceTests","testWelcomePageLoadTime","none","1","ENABLED","Welcome page must load within 5 seconds (LCP Ã¢â€°Â¤ 4s, FCP Ã¢â€°Â¤ 2.5s)"
"performance","PerformanceTests","testLoginAPIResponseTime","none","2","ENABLED","QA_Bypass_Login API must respond within 2 seconds"
"performance","PerformanceTests","testProfilePageLoadTime","none","3","ENABLED","Profile creation page must reach DOM interactive state within 3s"
"performance","PerformanceTests","testAllAPIsWithinSLA","none","4","ENABLED","All API calls during onboarding must respond within 2s SLA"
